iteration,scale_type,d_value
1,Coded (1-5),0.6765770450939173
1,True Scale,0.621625245208307
2,Coded (1-5),0.6704285884220474
2,True Scale,0.4275799505324077
3,Coded (1-5),0.8533355467591995
3,True Scale,0.6761436980654625
4,Coded (1-5),0.715930404242713
4,True Scale,0.5400690180423465
5,Coded (1-5),0.8330831248332031
5,True Scale,0.5522942862540318
6,Coded (1-5),0.8718760198573994
6,True Scale,0.6553199270313899
7,Coded (1-5),0.8783955550689895
7,True Scale,0.7215898074241274
8,Coded (1-5),0.8141776745999946
8,True Scale,0.603273567371659
9,Coded (1-5),0.8698040002702881
9,True Scale,0.6483675405813083
10,Coded (1-5),0.7816240902633843
10,True Scale,0.5928912527006504
11,Coded (1-5),0.8604078331490611
11,True Scale,0.7014123220689146
12,Coded (1-5),0.8445230596156799
12,True Scale,0.6767782489541186
13,Coded (1-5),0.6352847856051568
13,True Scale,0.5415204891655678
14,Coded (1-5),0.7917428446275433
14,True Scale,0.6131422823303682
15,Coded (1-5),0.7909689952622211
15,True Scale,0.5628968729091874
16,Coded (1-5),1.0802970807744532
16,True Scale,1.0039428364082925
17,Coded (1-5),0.7501361259014873
17,True Scale,0.5509515217269031
18,Coded (1-5),0.9359191741068401
18,True Scale,0.7112501030053611
19,Coded (1-5),0.7914448628463628
19,True Scale,0.5281505414675123
20,Coded (1-5),1.1006794967306457
20,True Scale,0.8952154752170387
21,Coded (1-5),0.4299348740522255
21,True Scale,0.2661662827640361
22,Coded (1-5),1.0417020859530477
22,True Scale,0.8756695886157473
23,Coded (1-5),0.8604315240349505
23,True Scale,0.5493239395272822
24,Coded (1-5),0.9777283802715766
24,True Scale,0.6577726912777432
25,Coded (1-5),0.7859078208262488
25,True Scale,0.6098129242045971
26,Coded (1-5),0.9030445552469093
26,True Scale,0.6490178061414356
27,Coded (1-5),0.9080758070278011
27,True Scale,0.6935591900220265
28,Coded (1-5),0.9442789050923515
28,True Scale,0.716165237765752
29,Coded (1-5),0.9025320507129388
29,True Scale,0.5902492841311027
30,Coded (1-5),0.844595708361214
30,True Scale,0.6913040662135248
31,Coded (1-5),0.9192284588906203
31,True Scale,0.6898782472570195
32,Coded (1-5),1.3157218143617213
32,True Scale,1.091590741102253
33,Coded (1-5),0.9474369561507336
33,True Scale,0.5862106412129711
34,Coded (1-5),0.8170082664958581
34,True Scale,0.6248783817850532
35,Coded (1-5),0.8206394193577187
35,True Scale,0.6687615367939663
36,Coded (1-5),0.9066317878981818
36,True Scale,0.7370004549379684
37,Coded (1-5),1.0153732425765194
37,True Scale,0.6844929187856984
38,Coded (1-5),1.125962057573557
38,True Scale,0.8663404500595945
39,Coded (1-5),0.631448939189254
39,True Scale,0.5155706508392581
40,Coded (1-5),0.6629115032522674
40,True Scale,0.5061448906730737
41,Coded (1-5),1.0049241401581155
